#{"t_start": 1789501611.0506365, "env_id": "None"}
r,l,t
0.59979,8,19775.836963
0.81137,6,19784.167124
0.94885,5,19790.180277
0.952158,8,19796.762391
0.946921,5,19798.995556
0.906744,7,19804.531861
0.168898,11,19834.859947
0.773182,6,19838.955463
0.92548,6,19839.309427
0.80477,10,19843.916121
0.977877,9,19855.820148
0.82535,6,19859.787936
0.775311,7,19864.52864
0.766612,9,19869.378382
0.996036,3,19871.380776
0.868019,20,19880.359378
0.496345,8,19890.949589
0.991971,6,19895.008376
0.944525,11,19902.921908
0.904732,5,19907.364604
0.94567,5,19909.846648
0.990517,4,19911.897968
0.923684,17,19922.004028
0.691377,17,19942.796251
0.008162,18,20057.298337
0.3235,8,20098.960737
0.169109,11,20104.34489
0.0,64,20135.846024
0.930947,21,20152.914668
0.140446,18,20244.816148
0.966405,14,20259.671472
0.873129,13,20260.1733
0.153667,10,20283.33686
0.664613,5,20283.45872
0.778889,11,20288.72187
0.35572,14,20328.163809
0.838301,6,20328.534611
0.879047,16,20338.065073
0.643826,11,20338.492738
0.874148,11,20346.788028
0.0,11,20465.439441
0.723368,13,20470.767552
0.913704,13,20482.204262
0.857112,6,20486.665808
0.976965,6,20486.840361
0.92976,20,20493.07737
0.977304,4,20495.273383
0.90962,5,20498.230204
0.0,3,20558.637308
0.987613,3,20560.802082
0.899916,6,20567.340041
0.771412,8,20574.767676
0.521869,3,20586.218801
0.287058,13,20603.799428
0.066412,12,20703.561631
0.757181,12,20713.806822
0.86513,6,20718.86536
0.958677,5,20721.50762
0.0,3,20782.273844
0.776515,12,20787.2744
0.444957,19,21190.724397
0.831121,8,21197.218688
0.686026,11,21207.129591
0.868398,7,21210.505623
0.601194,14,21219.151762
0.910958,14,21223.28515
0.960524,3,21225.75465
0.63022,11,21235.839199
0.94122,5,21235.952027
0.793094,9,21248.323765
0.750312,7,21254.764965
0.914627,7,21260.646207
0.928708,7,21260.808177
0.521869,6,21279.327697
0.811464,6,21279.506691
0.357701,33,21321.340671
0.905497,10,21327.573498
0.713504,9,21332.847523
0.934071,7,21340.157637
0.780636,17,21348.901604
0.683043,18,21366.714333
0.389251,11,21388.29714
0.856151,9,21395.747402
0.570017,7,21398.870106
0.949026,9,21401.229206
0.977145,6,21401.365629
0.568678,8,21404.511166
0.987538,3,21404.574968
0.820234,14,21415.181094
0.742582,13,21432.503684
0.810573,16,21445.575311
0.852872,13,21465.547367
0.77658,10,21470.433412
0.989498,4,21474.379888
0.244276,12,21478.76769
0.996036,3,21482.660885
0.0,9,21568.993892
0.254648,7,21576.597889
0.204673,7,21602.663162
0.756437,12,21617.115441
0.585966,6,21617.307564
0.469031,5,21622.313293
0.943729,9,21626.038889
0.361283,7,21644.418068
0.991083,8,21646.878799
0.627568,4,21656.422912
0.960118,7,21656.585688
0.885326,7,21656.740483
0.855586,10,21665.106544
0.601572,7,21673.950976
0.984984,5,21677.525806
0.964163,6,21684.368068
0.907521,4,21687.15521
0.0,5,21748.193119
0.936216,6,21751.624711
0.786896,5,21755.581048
0.956125,10,21760.555414
0.89851,5,21766.315217
0.411256,8,21783.25484
0.0,14,21908.593693
0.998669,10,21912.482001
0.733916,6,21918.651603
0.0,9,22008.678905
0.646975,7,22014.817841
0.877298,4,22022.484933
0.789041,4,22022.599235
0.998249,5,22024.444034
0.0,4,22085.048407
0.939801,7,22088.832895
0.908243,15,22098.11822
0.889395,8,22112.875028
0.977517,9,22115.149209
0.955042,5,22119.927688
0.887358,7,22126.46864
0.91464,12,22138.292028
0.759975,6,22138.540595
0.0,19,22316.551146
0.902973,4,22320.789116
0.872523,7,22320.969121
0.988902,13,22329.322935
0.0,2,22389.698033
0.242903,4,22411.411679
0.993645,5,22411.514961
0.81499,6,22417.399032
0.627568,7,22432.572184
0.868398,5,22436.028343
0.820887,5,22443.674866
0.904127,7,22446.099347
0.789179,13,22454.917951
0.943544,3,22457.423152
0.807496,5,22460.5454
0.948396,9,22464.925709
0.848325,15,22482.13757
0.875161,11,22487.759687
0.701767,6,22487.979637
0.516175,16,22513.316735
0.842403,6,22516.18902
0.441454,5,22530.934418
0.912462,6,22540.393919
0.315352,3,22562.082359
0.617851,9,22565.651656
0.812864,4,22569.975762
0.671,9,22570.269202
0.939535,7,22579.002406
0.372983,5,22591.310498
0.752375,13,22604.158255
0.918513,10,22604.377081
0.627568,4,22611.109958
0.958911,5,22613.822127
0.89796,3,22613.895908
0.789179,5,22619.77719
0.71366,4,22628.084702
0.627477,5,22628.327905
0.643757,7,22636.402996
0.797929,6,22641.503985
0.640376,16,22673.274537
0.0,12,22824.171168
0.954976,4,22826.346463
0.933599,7,22830.970598
0.993609,5,22836.699795
0.914387,10,22840.703347
0.750347,8,22840.976562
0.908214,13,22845.007138
0.506029,7,22862.231854
0.610729,8,22875.787224
0.949696,6,22878.438545
0.358197,5,22894.783642
0.997143,3,22896.746407
